iter	MAE
0	9397.29
1	9341.427352
2	9289.634211
3	9246.804516
4	9180.660371
5	9120.645346
6	9052.714789
7	8988.09752
8	8913.624341
9	8852.372816
10	8793.270337
11	8722.110769
12	8673.481741
13	8630.661311
14	8583.530179
15	8501.428647
16	8422.760846
17	8368.942516
18	8321.193481
19	8285.232617
20	8210.26068
21	8167.783654
22	8121.836885
23	8077.278706
24	8043.875407
25	7983.615949
26	7949.711231
27	7888.592527
28	7835.618661
29	7788.633985
30	7734.588501
31	7670.179522
32	7613.116015
33	7574.191216
34	7527.64953
35	7493.420071
36	7427.589671
37	7370.331478
38	7330.734515
39	7277.175794
40	7228.931839
41	7185.726705
42	7132.412022
43	7085.95496
44	7037.618879
45	7006.456244
46	6951.16183
47	6922.852933
48	6884.140769
49	6833.628875
50	6808.473996
51	6780.765652
52	6743.775328
53	6683.56811
54	6632.332991
55	6571.994393
56	6536.727663
57	6515.126141
58	6473.164216
59	6431.775968
60	6377.782894
61	6333.123002
62	6295.157935
63	6247.112187
64	6209.743487
65	6160.486023
66	6138.466044
67	6095.898784
68	6078.471967
69	6051.797896
70	6003.483691
71	5969.101233
72	5921.606389
73	5882.007796
74	5831.188041
75	5788.723524
76	5761.520174
77	5710.481066
78	5663.06174
79	5618.045153
80	5579.544178
81	5535.723005
82	5501.998078
83	5475.596793
84	5462.723689
85	5414.537518
86	5377.859658
87	5336.899727
88	5320.175348
89	5285.895294
90	5275.806253
91	5239.11804
92	5202.918824
93	5167.399652
94	5155.769494
95	5114.917596
96	5073.232016
97	5039.104516
98	5023.5093
99	4982.55502
100	4965.264992
101	4940.776912
102	4901.156083
103	4867.43679
104	4833.944519
105	4800.965218
106	4761.628653
107	4725.741841
108	4693.30186
109	4664.161425
110	4631.838901
111	4592.917843
112	4552.38262
113	4536.98384
114	4524.679175
115	4510.292229
116	4482.066884
117	4454.893214
118	4442.955598
119	4407.893929
120	4388.819907
121	4355.833417
122	4341.769112
123	4305.907283
124	4273.354874
125	4239.911454
126	4207.314115
127	4182.576343
128	4154.842981
129	4121.544961
130	4101.739459
131	4079.611272
132	4058.598641
133	4027.395788
134	4004.020952
135	3981.643553
136	3962.82211
137	3934.180358
138	3912.559208
139	3883.121802
140	3856.009818
141	3832.694852
142	3804.098478
143	3779.358818
144	3753.967092
145	3746.677573
146	3733.331068
147	3707.259135
148	3696.134519
149	3681.07151
150	3657.661845
151	3638.862487
152	3614.438139
153	3587.219709
154	3568.445348
155	3558.749421
156	3534.949649
157	3517.492991
158	3494.921448
159	3483.536986
160	3464.631059
161	3454.279474
162	3432.669199
163	3421.664088
164	3403.942193
165	3390.208702
166	3379.381496
167	3356.019875
168	3334.084342
169	3315.852008
170	3292.870766
171	3272.363817
172	3252.024489
173	3243.107318
174	3226.240057
175	3216.373439
176	3196.27839
177	3184.725317
178	3164.311873
179	3156.340172
180	3147.378287
181	3132.46134
182	3112.047022
183	3100.894916
184	3080.379001
185	3071.385637
186	3052.4086
187	3047.120549
188	3039.078617
189	3022.253451
190	3013.844975
191	2994.840063
192	2984.830679
193	2965.209567
194	2946.656556
195	2934.510274
196	2927.374881
197	2910.298504
198	2897.727766
199	2891.767346
200	2873.945796
201	2864.970307
202	2852.26073
203	2844.468748
204	2837.562312
205	2824.313065
206	2817.424994
207	2801.809925
208	2795.219974
209	2780.219447
210	2773.226306
211	2766.584456
212	2761.234078
213	2745.269458
214	2739.779392
215	2725.808179
216	2708.576054
217	2693.237867
218	2686.294757
219	2676.324875
220	2669.118421
221	2666.536884
222	2658.652056
223	2644.689263
224	2628.595428
225	2615.459236
226	2609.436061
227	2592.390469
228	2585.989282
229	2573.024706
230	2559.648625
231	2544.867434
232	2540.033319
233	2534.404823
234	2520.056306
235	2507.345875
236	2495.86203
237	2487.306591
238	2480.630122
239	2469.770662
240	2455.975049
241	2451.191286
242	2439.955675
243	2429.699138
244	2422.249532
245	2412.843248
246	2399.125936
247	2384.715454
248	2378.810487
249	2373.685066
250	2360.902861
251	2350.938974
252	2338.120594
253	2333.101044
254	2328.152212
255	2317.467527
256	2312.006774
257	2298.537075
258	2287.906981
259	2275.648718
260	2264.183188
261	2254.20418
262	2241.912133
263	2238.016159
264	2229.493977
265	2218.579208
266	2210.888023
267	2199.499377
268	2195.775142
269	2191.323439
270	2183.734528
271	2173.815173
272	2169.98749
273	2165.587863
274	2155.459656
275	2144.30545
276	2135.492539
277	2127.358941
278	2122.908214
279	2112.865361
280	2108.035468
281	2102.88037
282	2099.598951
283	2095.351862
284	2090.989336
285	2085.993517
286	2081.869416
287	2073.340822
288	2060.913335
289	2056.780188
290	2051.335831
291	2042.972164
292	2034.264751
293	2024.825645
294	2019.690404
295	2015.744673
296	2012.052848
297	2007.669567
298	1997.849825
299	1992.018584
300	1988.338972
301	1983.848641
302	1974.539316
303	1965.252425
304	1960.740138
305	1957.697212
306	1948.621851
307	1939.723026
308	1931.884512
309	1928.329813
310	1925.355213
311	1921.968041
312	1916.31626
313	1912.94476
314	1909.252937
315	1901.221946
316	1898.006971
317	1889.983424
318	1881.720951
319	1878.659752
320	1875.743113
321	1873.279702
322	1870.605484
323	1868.812609
324	1862.447068
325	1858.311609
326	1848.96201
327	1845.411534
328	1842.458675
329	1834.218567
330	1827.841304
331	1818.970202
332	1816.192419
333	1809.391636
334	1806.292108
335	1804.149392
336	1800.811158
337	1794.623946
338	1788.037841
339	1781.836805
340	1780.796527
341	1778.486592
342	1773.090089
343	1771.046343
344	1764.309037
345	1759.608828
346	1757.457625
347	1754.980967
348	1752.664302
349	1746.837607
350	1740.28826
351	1736.392364
352	1734.62853
353	1731.264966
354	1726.567605
355	1720.486089
356	1716.758234
357	1711.934225
358	1705.952148
359	1702.982917
360	1701.18878
361	1699.663068
362	1694.640282
363	1691.738086
364	1690.549754
365	1685.487317
366	1683.338257
367	1677.812398
368	1675.071117
369	1669.055933
370	1667.842607
371	1664.701319
372	1659.364146
373	1657.826389
374	1653.898202
375	1649.515257
376	1647.617317
377	1641.878404
378	1640.530992
379	1633.815387
380	1631.774665
381	1627.564261
382	1621.270928
383	1619.277191
384	1613.884314
385	1612.607069
386	1606.603193
387	1602.957526
388	1600.208759
389	1596.088299
390	1593.776452
391	1591.509317
392	1586.293971
393	1584.600541
394	1582.590356
395	1578.200733
396	1576.804319
397	1574.515508
398	1569.758887
399	1568.17838
400	1563.755354
401	1560.602228
402	1558.265767
403	1557.023437
404	1555.437858
405	1552.639564
406	1549.220494
407	1545.304698
408	1541.715698
409	1539.921871
410	1537.814791
411	1534.990169
412	1533.256372
413	1527.095896
414	1525.88207
415	1524.32032
416	1521.72265
417	1518.403193
418	1515.66532
419	1512.675297
420	1510.824345
421	1504.683377
422	1503.289668
423	1502.039166
424	1498.296354
425	1495.80854
426	1495.175632
427	1493.672126
428	1492.175008
429	1490.239781
430	1484.859976
431	1479.999968
432	1478.486071
433	1477.495684
434	1473.928822
435	1472.674722
436	1471.162722
437	1467.760038
438	1466.12129
439	1464.285405
440	1461.345753
441	1460.090045
442	1457.700719
443	1456.131896
444	1454.381343
445	1450.2629
446	1445.009536
447	1443.801293
448	1440.07225
449	1438.769837
450	1437.530124
451	1436.646179
452	1434.001523
453	1432.581602
454	1429.109502
455	1427.899915
456	1422.9319
457	1421.021783
458	1420.028334
459	1419.095711
460	1418.704121
461	1415.532468
462	1412.711547
463	1411.761306
464	1410.439303
465	1406.73583
466	1405.207904
467	1401.70672
468	1397.747854
469	1395.430875
470	1390.832214
471	1385.644956
472	1384.372344
473	1383.718193
474	1381.446256
475	1378.661366
476	1377.760162
477	1374.173013
478	1370.958847
479	1367.632385
480	1366.942663
481	1363.522914
482	1362.90618
483	1361.953405
484	1357.097933
485	1354.481979
486	1353.804225
487	1352.363653
488	1351.814883
489	1348.264679
490	1344.828032
491	1343.442584
492	1340.545553
493	1339.899484
494	1338.870798
495	1336.292687
496	1335.095795
497	1334.102361
498	1330.509412
499	1328.663386
500	1325.58036
501	1322.702078
502	1318.583904
503	1315.251425
504	1313.713659
505	1313.23755
506	1312.505182
507	1311.317998
508	1310.443574
509	1309.702288
510	1308.662501
511	1305.388051
512	1304.509233
513	1301.039531
514	1298.425411
515	1297.352033
516	1295.071205
517	1291.074772
518	1290.29558
519	1289.475432
520	1288.636221
521	1287.525558
522	1285.571185
523	1283.197519
524	1280.743445
525	1280.349185
526	1279.610324
527	1278.110207
528	1276.109017
529	1274.787423
530	1273.972095
531	1270.853711
532	1269.65314
533	1266.548202
534	1265.115874
535	1262.605304
536	1261.767851
537	1260.663105
538	1260.060244
539	1258.920118
540	1257.163127
541	1256.384715
542	1255.914102
543	1252.541777
544	1251.871083
545	1249.52639
546	1247.050512
547	1246.121219
548	1244.893584
549	1244.310924
550	1239.87362
551	1239.108974
552	1236.565704
553	1234.230894
554	1233.214242
555	1232.047342
556	1231.626215
557	1229.382517
558	1228.835401
559	1228.208943
560	1226.932812
561	1225.615286
562	1223.126486
563	1222.948769
564	1222.258158
565	1221.836625
566	1220.96176
567	1218.904933
568	1217.000815
569	1216.254876
570	1215.714665
571	1214.586451
572	1213.068138
573	1212.237929
574	1211.772686
575	1211.444289
576	1210.853081
577	1209.765307
578	1208.262272
579	1206.177246
580	1204.966964
581	1204.162762
582	1200.825288
583	1196.308842
584	1195.963702
585	1195.505643
586	1193.142152
587	1191.550169
588	1190.425497
589	1189.674664
590	1185.171128
591	1184.058937
592	1183.599894
593	1182.514884
594	1180.381152
595	1179.584426
596	1179.224614
597	1178.814416
598	1175.114959
599	1174.712794
600	1172.336572
601	1170.351606
602	1164.915024
603	1162.96323
604	1160.512762
605	1159.498319
606	1158.894946
607	1157.854141
608	1157.101336
609	1156.173737
610	1152.156245
611	1150.054904
612	1149.210727
613	1144.984549
614	1144.294914
615	1143.315446
616	1139.8189
617	1138.855873
618	1138.58169
619	1136.829191
620	1136.542186
621	1132.938115
622	1129.389102
623	1129.055389
624	1127.708388
625	1127.437558
626	1124.445253
627	1123.389917
628	1123.106815
629	1119.541795
630	1118.945901
631	1115.277807
632	1114.954252
633	1113.482029
634	1109.784262
635	1105.689664
636	1102.113463
637	1101.179985
638	1100.115208
639	1096.545359
640	1094.965128
641	1094.551198
642	1093.435368
643	1093.075752
644	1089.83023
645	1088.889466
646	1088.447875
647	1087.406834
648	1087.141339
649	1084.6412
650	1081.84908
651	1079.286897
652	1078.819492
653	1078.046377
654	1076.810118
655	1075.852095
656	1072.772387
657	1070.312319
658	1069.601711
659	1067.538613
660	1067.199286
661	1066.760165
662	1065.998555
663	1064.1502
664	1061.925477
665	1059.791387
666	1059.411682
667	1058.210643
668	1055.475668
669	1055.155546
670	1054.707619
671	1054.357933
672	1051.457019
673	1049.184303
674	1048.762534
675	1048.067717
676	1047.057317
677	1046.651599
678	1044.202063
679	1041.348113
680	1039.867945
681	1039.331801
682	1038.183145
683	1037.436673
684	1034.551206
685	1032.809638
686	1031.331411
687	1030.414184
688	1028.465582
689	1027.277507
690	1025.497661
691	1022.70546
692	1020.250982
693	1018.306957
694	1015.841167
695	1014.36278
696	1013.77877
697	1012.477704
698	1010.058634
699	1008.141937
700	1007.378783
701	1005.874561
702	1004.834271
703	1001.092083
704	1000.063006
705	999.1307391
706	998.3557099
707	998.1195424
708	996.1854183
709	994.3114876
710	992.8021255
711	989.3527482
712	988.7217307
713	988.5076633
714	985.8841072
715	985.5414526
716	984.1929163
717	981.9142815
718	981.4879058
719	980.6793812
720	980.0609181
721	977.6476396
722	976.2831909
723	975.3484236
724	974.1094963
725	971.823691
726	971.0771118
727	969.9525447
728	968.4267193
729	967.2152642
730	966.7907421
731	966.401724
732	965.1322709
733	962.7505899
734	962.2221502
735	959.9807184
736	959.102484
737	957.7519546
738	956.681695
739	955.5832518
740	955.3233918
741	955.0692349
742	953.3389812
743	952.7307778
744	950.4643434
745	949.4771094
746	949.3501105
747	949.2271495
748	947.8105676
749	947.1073061
750	946.0669695
751	945.4711906
752	944.9703714
753	943.7412402
754	942.6215278
755	942.3206796
756	941.6584425
757	941.2124232
758	940.7944871
759	938.6261992
760	938.3185403
761	938.0105634
762	935.5455443
763	934.986883
764	934.3005605
765	934.1082921
766	932.931574
767	932.5699335
768	931.0733358
769	929.2184208
770	928.4375641
771	926.5981291
772	926.4403156
773	926.2346496
774	926.0413059
775	924.2047585
776	923.0423571
777	921.0506783
778	920.7904418
779	918.3817293
780	917.8968718
781	917.2310235
782	917.0312889
783	916.7594637
784	916.4015742
785	914.2744731
786	912.3090587
787	910.9262288
788	910.6681098
789	910.2939383
790	909.8831212
791	909.5181972
792	907.6651775
793	907.0891577
794	905.3275227
795	904.9386948
796	903.9552674
797	903.4473744
798	900.8361509
799	900.2992435
800	899.922123
801	898.6954318
802	898.4355992
803	896.7657275
804	896.0776752
805	894.9044216
806	893.988049
807	893.4125839
808	891.0188181
809	888.7043907
810	887.5743292
811	886.9449145
812	885.5977934
813	884.9158919
814	883.2886817
815	883.0609377
816	882.4256071
817	882.166966
818	880.9445007
819	880.7967911
820	878.0387738
821	877.2548153
822	876.8818245
823	873.7472122
824	872.8019692
825	872.5715349
826	870.6162781
827	869.797556
828	869.3009957
829	868.9848866
830	868.355036
831	868.039466
832	866.7260321
833	865.3941464
834	865.0598439
835	863.4238993
836	861.5559768
837	861.2734499
838	860.044583
839	859.0953082
840	858.457242
841	858.2662265
842	857.5130315
843	856.9305074
844	856.3697404
845	855.4597532
846	854.8688828
847	852.6033261
848	851.9279175
849	850.6385618
850	847.9966638
851	847.1153379
852	845.8564301
853	845.7555568
854	845.3076147
855	843.4897441
856	841.4172196
857	840.8346337
858	839.9665346
