iter	Passed	Remaining
0	133	200666
1	134	100738
2	134	67309
3	135	50607
4	135	40593
5	136	33901
6	136	29126
7	137	25558
8	137	22782
9	137	20561
10	138	18748
11	138	17232
12	139	15945
13	139	14842
14	140	13882
15	140	13050
16	141	12308
17	141	11647
18	141	11056
19	142	10540
20	142	10062
21	143	9628
22	143	9231
23	144	8868
24	144	8536
25	145	8226
26	145	7951
27	146	7685
28	146	7438
29	147	7204
30	147	6985
31	147	6780
32	148	6591
33	148	6412
34	149	6240
35	149	6078
36	149	5930
37	150	5786
38	150	5648
39	151	5523
40	151	5401
41	152	5283
42	152	5170
43	152	5062
44	153	4961
45	153	4866
46	154	4773
47	154	4683
48	155	4597
49	155	4517
50	156	4438
51	156	4362
52	157	4289
53	157	4220
54	158	4152
55	158	4088
56	159	4027
57	159	3969
58	160	3912
59	160	3855
60	160	3797
61	161	3742
62	161	3690
63	162	3640
64	162	3593
65	163	3547
66	163	3500
67	164	3454
68	164	3412
69	164	3369
70	165	3330
71	165	3290
72	166	3252
73	166	3214
74	167	3178
75	167	3142
76	168	3109
77	168	3075
78	169	3043
79	169	3011
80	170	2979
81	170	2950
82	171	2919
83	171	2891
84	171	2862
85	172	2838
86	173	2813
87	173	2785
88	173	2758
89	174	2732
90	174	2707
91	175	2684
92	176	2662
93	176	2642
94	177	2620
95	177	2598
96	178	2575
97	178	2553
98	178	2532
99	179	2511
100	179	2491
101	180	2472
102	180	2452
103	181	2433
104	181	2413
105	182	2395
106	182	2376
107	182	2357
108	183	2339
109	183	2321
110	184	2304
111	184	2287
112	184	2269
113	185	2252
114	185	2236
115	186	2221
116	186	2205
117	187	2190
118	187	2174
119	187	2159
120	188	2144
121	188	2130
122	189	2116
123	189	2102
124	189	2088
125	190	2075
126	190	2061
127	191	2047
128	191	2034
129	191	2021
130	192	2007
131	192	1994
132	192	1981
133	193	1968
134	193	1955
135	193	1943
136	194	1931
137	194	1919
138	194	1907
139	195	1895
140	195	1883
141	195	1872
142	196	1860
143	196	1849
144	196	1838
145	197	1827
146	197	1817
147	197	1807
148	198	1797
149	198	1786
150	198	1777
151	199	1769
152	199	1760
153	200	1751
154	200	1741
155	201	1732
156	201	1723
157	201	1715
158	202	1706
159	202	1697
160	202	1688
161	203	1679
162	203	1670
163	203	1661
164	204	1653
165	204	1644
166	204	1636
167	205	1627
168	205	1619
169	205	1611
170	206	1603
171	206	1595
172	207	1587
173	207	1580
174	207	1573
175	208	1565
176	208	1558
177	208	1550
178	209	1543
179	209	1535
180	209	1528
181	210	1521
182	210	1514
183	210	1507
184	211	1501
185	211	1494
186	211	1487
187	212	1481
188	212	1474
189	213	1469
190	213	1463
191	213	1457
192	214	1451
193	214	1445
194	215	1438
195	215	1432
196	215	1426
197	216	1420
198	216	1414
199	216	1408
200	217	1403
201	217	1397
202	217	1391
203	218	1385
204	218	1380
205	218	1374
206	219	1369
207	219	1363
208	219	1358
209	220	1352
210	220	1347
211	220	1342
212	221	1337
213	221	1332
214	221	1326
215	222	1322
216	222	1317
217	223	1312
218	223	1308
219	224	1303
220	224	1298
221	224	1294
222	225	1290
223	225	1285
224	226	1280
225	226	1276
226	226	1272
227	227	1267
228	227	1263
229	228	1260
230	228	1255
231	229	1251
232	229	1247
233	229	1243
234	230	1239
235	230	1234
236	230	1230
237	231	1226
238	231	1222
239	232	1218
240	232	1214
241	232	1210
242	233	1206
243	233	1202
244	234	1199
245	234	1195
246	234	1191
247	235	1187
248	235	1184
249	236	1180
250	236	1176
251	236	1172
252	237	1168
253	237	1165
254	237	1161
255	238	1157
256	238	1154
257	239	1151
258	239	1148
259	240	1145
260	240	1141
261	241	1138
262	241	1135
263	241	1132
264	242	1129
265	242	1125
266	242	1122
267	243	1118
268	243	1114
269	243	1111
270	244	1107
271	244	1104
272	245	1101
273	245	1098
274	245	1095
275	246	1092
276	246	1089
277	247	1086
278	247	1083
279	247	1080
280	248	1077
281	248	1074
282	249	1071
283	249	1068
284	249	1065
285	250	1062
286	250	1059
287	251	1056
288	251	1053
289	251	1050
290	252	1047
291	252	1044
292	252	1041
293	253	1038
294	253	1035
295	253	1032
296	254	1029
297	254	1027
298	254	1024
299	255	1021
300	255	1018
301	255	1015
302	256	1012
303	256	1010
304	257	1007
305	257	1005
306	257	1002
307	258	1000
308	258	998
309	259	995
310	259	993
311	260	991
312	260	989
313	261	987
314	261	985
315	262	982
316	262	979
317	262	977
318	263	974
319	263	972
320	264	969
321	264	967
322	265	965
323	265	963
324	265	961
325	266	958
326	266	957
327	267	954
328	267	952
329	267	950
330	268	948
331	269	946
332	269	944
333	269	942
334	270	940
335	270	937
336	271	935
337	271	933
338	271	931
339	272	928
340	272	926
341	272	924
342	273	921
343	273	919
344	274	917
345	274	915
346	274	913
347	275	911
348	275	909
349	276	907
350	276	904
351	276	902
352	277	900
353	277	898
354	277	895
355	278	893
356	278	891
357	278	889
358	279	886
359	279	884
360	279	882
361	280	881
362	280	879
363	281	877
364	281	875
365	282	873
366	282	871
367	282	869
368	283	867
369	283	865
370	283	863
371	284	861
372	284	859
373	284	857
374	285	855
375	285	854
376	286	852
377	286	850
378	286	848
379	287	846
380	287	844
381	287	842
382	288	840
383	288	838
384	289	837
385	289	835
386	289	833
387	290	831
388	290	830
389	291	828
390	291	826
391	291	825
392	292	823
393	292	821
394	293	820
395	293	818
396	293	816
397	294	814
398	294	813
399	295	812
400	295	810
401	296	808
402	296	806
403	296	804
404	297	803
405	297	801
406	297	799
407	298	797
408	298	796
409	298	794
410	299	792
411	299	791
412	300	789
413	300	787
414	300	786
415	301	784
416	301	783
417	302	781
418	302	780
419	303	779
420	303	777
421	303	776
422	304	774
423	304	772
424	304	771
425	305	769
426	305	768
427	306	766
428	306	765
429	306	763
430	307	763
431	308	762
432	308	761
433	309	759
434	309	758
435	310	756
436	310	755
437	310	754
438	311	752
439	311	751
440	312	749
441	312	747
442	312	746
443	313	744
444	313	743
445	313	741
446	314	741
447	315	739
448	315	738
449	316	737
450	316	736
451	316	734
452	317	733
453	317	731
454	318	730
455	318	729
456	319	728
457	319	727
458	320	726
459	320	724
460	320	723
461	321	722
462	321	721
463	322	719
464	322	718
465	323	717
466	323	715
467	323	714
468	324	712
469	324	711
470	324	709
471	325	708
472	325	707
473	326	705
474	326	704
475	327	703
476	327	702
477	327	700
478	328	699
479	328	698
480	328	696
481	329	695
482	329	694
483	330	692
484	330	691
485	330	690
486	331	688
487	331	687
488	332	686
489	332	685
490	332	683
491	333	682
492	333	681
493	333	679
494	334	678
495	334	677
496	335	676
497	335	676
498	337	677
499	338	677
500	339	676
501	340	676
502	341	676
503	341	675
504	342	674
505	342	673
506	343	672
507	343	671
508	344	670
509	345	670
510	345	669
511	346	668
512	347	667
513	347	666
514	349	667
515	350	667
516	351	668
517	352	668
518	353	668
519	354	667
520	354	666
521	355	665
522	355	664
523	356	663
524	356	662
525	357	661
526	358	661
527	358	660
528	359	659
529	359	658
530	360	657
531	360	656
532	360	654
533	361	653
534	361	652
535	362	651
536	362	650
537	363	649
538	363	648
539	363	646
540	364	645
541	364	644
542	364	643
543	365	641
544	365	640
545	365	639
546	366	638
547	366	637
548	367	636
549	367	635
550	368	634
551	368	633
552	369	632
553	369	631
554	370	631
555	371	630
556	372	629
