dt,Цена на арматуру
2015-01-05,32900
2015-01-12,32500
2015-01-19,32000
2015-01-26,30700
2015-02-02,30300
2015-02-09,30300
2015-02-16,30100
2015-02-23,29400
2015-03-02,29200
2015-03-09,29000
2015-03-16,28700
2015-03-23,27800
2015-03-30,27200
2015-04-06,26600
2015-04-13,25700
2015-04-20,24800
2015-04-27,24700
2015-05-04,24300
2015-05-11,23900
2015-05-18,24000
2015-05-25,23700
2015-06-01,23500
2015-06-08,23800
2015-06-15,24400
2015-06-22,25000
2015-06-29,25300
2015-07-06,25500
2015-07-13,25500
2015-07-20,25400
2015-07-27,25200
2015-08-03,25000
2015-08-10,24700
2015-08-17,24400
2015-08-24,24100
2015-08-31,24100
2015-09-07,23900
2015-09-14,24200
2015-09-21,24200
2015-09-28,24000
2015-10-05,24000
2015-10-12,23800
2015-10-19,23800
2015-10-26,24200
2015-11-02,24500
2015-11-09,24500
2015-11-16,23950
2015-11-23,23750
2015-11-30,23100
2015-12-07,22800
2015-12-14,22000
2015-12-21,21700
2015-12-28,21300
2016-01-04,21300
2016-01-11,21300
2016-01-18,21200
2016-01-25,21000
2016-02-01,21000
2016-02-08,21000
2016-02-15,21200
2016-02-22,21800
2016-02-29,22450
2016-03-07,23300
2016-03-14,23800
2016-03-21,25500
2016-03-28,26700
2016-04-04,29900
2016-04-11,29950
2016-04-18,31500
2016-04-25,31900
2016-05-02,40300
2016-05-09,43500
2016-05-16,43350
2016-05-23,42950
2016-05-30,42000
2016-06-06,38300
2016-06-13,37500
2016-06-20,36800
2016-06-27,35400
2016-07-04,34400
2016-07-11,33400
2016-07-18,32500
2016-07-25,32000
2016-08-01,31000
2016-08-08,30200
2016-08-15,29200
2016-08-22,28850
2016-08-29,28700
2016-09-05,28500
2016-09-12,30000
2016-09-19,32000
2016-09-26,32500
2016-10-03,33300
2016-10-10,34300
2016-10-17,33700
2016-10-24,32200
2016-10-31,30400
2016-11-07,30200
2016-11-14,29800
2016-11-21,33500
2016-11-28,33500
2016-12-05,33500
2016-12-12,33500
2016-12-19,33000
2016-12-26,32500
2017-01-02,33750
2017-01-09,33750
2017-01-16,33750
2017-01-23,33750
2017-01-30,33000
2017-02-06,32600
2017-02-13,32000
2017-02-20,31300
2017-02-27,30300
2017-03-06,30500
2017-03-13,30700
