dt,Цена на арматуру,lag_1,lag_2,lag_4,lag_12,lag_52,rolling_mean_12,rolling_std_12,year,month,week,month_sin,month_cos,Цена_diff
2015-01-05,32900,,,,,,,,2015,1,2,0.49999999999999994,0.8660254037844387,
2015-01-12,32500,32900.0,,,,,,,2015,1,3,0.49999999999999994,0.8660254037844387,-400.0
2015-01-19,32000,32500.0,32900.0,,,,,,2015,1,4,0.49999999999999994,0.8660254037844387,-500.0
2015-01-26,30700,32000.0,32500.0,,,,,,2015,1,5,0.49999999999999994,0.8660254037844387,-1300.0
2015-02-02,30300,30700.0,32000.0,32900.0,,,,,2015,2,6,0.8660254037844386,0.5000000000000001,-400.0
2015-02-09,30300,30300.0,30700.0,32500.0,,,,,2015,2,7,0.8660254037844386,0.5000000000000001,0.0
2015-02-16,30100,30300.0,30300.0,32000.0,,,,,2015,2,8,0.8660254037844386,0.5000000000000001,-200.0
2015-02-23,29400,30100.0,30300.0,30700.0,,,,,2015,2,9,0.8660254037844386,0.5000000000000001,-700.0
2015-03-02,29200,29400.0,30100.0,30300.0,,,,,2015,3,10,1.0,6.123233995736766e-17,-200.0
2015-03-09,29000,29200.0,29400.0,30300.0,,,,,2015,3,11,1.0,6.123233995736766e-17,-200.0
2015-03-16,28700,29000.0,29200.0,30100.0,,,,,2015,3,12,1.0,6.123233995736766e-17,-300.0
2015-03-23,27800,28700.0,29000.0,29400.0,,,,,2015,3,13,1.0,6.123233995736766e-17,-900.0
2015-03-30,27200,27800.0,28700.0,29200.0,32900.0,,30241.666666666668,1571.599262669795,2015,3,14,1.0,6.123233995736766e-17,-600.0
2015-04-06,26600,27200.0,27800.0,29000.0,32500.0,,29766.666666666668,1556.4139045974384,2015,4,15,0.8660254037844387,-0.4999999999999998,-600.0
2015-04-13,25700,26600.0,27200.0,28700.0,32000.0,,29275.0,1546.329965963399,2015,4,16,0.8660254037844387,-0.4999999999999998,-900.0
2015-04-20,24800,25700.0,26600.0,27800.0,30700.0,,28750.0,1605.3886530285215,2015,4,17,0.8660254037844387,-0.4999999999999998,-900.0
2015-04-27,24700,24800.0,25700.0,27200.0,30300.0,,28258.333333333332,1840.1869140899469,2015,4,18,0.8660254037844387,-0.4999999999999998,-100.0
2015-05-04,24300,24700.0,24800.0,26600.0,30300.0,,27791.666666666668,1980.1094245857562,2015,5,19,0.49999999999999994,-0.8660254037844387,-400.0
2015-05-11,23900,24300.0,24700.0,25700.0,30100.0,,27291.666666666668,2045.5976380925197,2015,5,20,0.49999999999999994,-0.8660254037844387,-400.0
2015-05-18,24000,23900.0,24300.0,24800.0,29400.0,,26775.0,2054.7616539505134,2015,5,21,0.49999999999999994,-0.8660254037844387,100.0
2015-05-25,23700,24000.0,23900.0,24700.0,29200.0,,26325.0,2018.6066301468245,2015,5,22,0.49999999999999994,-0.8660254037844387,-300.0
2015-06-01,23500,23700.0,24000.0,24300.0,29000.0,,25866.666666666668,1928.8872596930203,2015,6,23,1.2246467991473532e-16,-1.0,-200.0
2015-06-08,23800,23500.0,23700.0,23900.0,28700.0,,25408.333333333332,1762.9821498262672,2015,6,24,1.2246467991473532e-16,-1.0,300.0
2015-06-15,24400,23800.0,23500.0,24000.0,27800.0,,25000.0,1475.2503639598337,2015,6,25,1.2246467991473532e-16,-1.0,600.0
2015-06-22,25000,24400.0,23800.0,23700.0,27200.0,,24716.666666666668,1186.9237038613155,2015,6,26,1.2246467991473532e-16,-1.0,600.0
2015-06-29,25300,25000.0,24400.0,23500.0,26600.0,,24533.333333333332,904.8689843219639,2015,6,27,1.2246467991473532e-16,-1.0,300.0
2015-07-06,25500,25300.0,25000.0,23800.0,25700.0,,24425.0,686.3937380515262,2015,7,28,-0.4999999999999997,-0.8660254037844388,200.0
2015-07-13,25500,25500.0,25300.0,24400.0,24800.0,,24408.333333333332,654.2981435141354,2015,7,29,-0.4999999999999997,-0.8660254037844388,0.0
2015-07-20,25400,25500.0,25500.0,25000.0,24700.0,,24466.666666666668,720.2693099028047,2015,7,30,-0.4999999999999997,-0.8660254037844388,-100.0
2015-07-27,25200,25400.0,25500.0,25300.0,24300.0,,24525.0,767.670620655868,2015,7,31,-0.4999999999999997,-0.8660254037844388,-200.0
2015-08-03,25000,25200.0,25400.0,25500.0,23900.0,,24600.0,787.4007874011709,2015,8,32,-0.8660254037844385,-0.5000000000000004,-200.0
2015-08-10,24700,25000.0,25200.0,25500.0,24000.0,,24691.666666666668,762.1242243449011,2015,8,33,-0.8660254037844385,-0.5000000000000004,-300.0
2015-08-17,24400,24700.0,25000.0,25400.0,23700.0,,24750.0,730.5041845440362,2015,8,34,-0.8660254037844385,-0.5000000000000004,-300.0
2015-08-24,24100,24400.0,24700.0,25200.0,23500.0,,24808.333333333332,663.9528095680573,2015,8,35,-0.8660254037844385,-0.5000000000000004,-300.0
2015-08-31,24100,24100.0,24400.0,25000.0,23800.0,,24858.333333333332,572.8054299725557,2015,8,36,-0.8660254037844385,-0.5000000000000004,0.0
2015-09-07,23900,24100.0,24100.0,24700.0,24400.0,,24883.333333333332,527.1420945805522,2015,9,37,-1.0,-1.8369701987210297e-16,-200.0
2015-09-14,24200,23900.0,24100.0,24400.0,25000.0,,24841.666666666668,585.3644293527741,2015,9,38,-1.0,-1.8369701987210297e-16,300.0
2015-09-21,24200,24200.0,23900.0,24100.0,25300.0,,24775.0,610.7000454024289,2015,9,39,-1.0,-1.8369701987210297e-16,0.0
2015-09-28,24000,24200.0,24200.0,24100.0,25500.0,,24683.333333333332,607.2790781739985,2015,9,40,-1.0,-1.8369701987210297e-16,-200.0
2015-10-05,24000,24000.0,24200.0,23900.0,25500.0,,24558.333333333332,577.5470596069107,2015,10,41,-0.8660254037844386,0.5000000000000001,0.0
2015-10-12,23800,24000.0,24000.0,24200.0,25400.0,,24433.333333333332,514.0451577851953,2015,10,42,-0.8660254037844386,0.5000000000000001,-200.0
2015-10-19,23800,23800.0,24000.0,24200.0,25200.0,,24300.0,443.1293675255773,2015,10,43,-0.8660254037844386,0.5000000000000001,0.0
2015-10-26,24200,23800.0,23800.0,24000.0,25000.0,,24183.333333333332,361.39460511474533,2015,10,44,-0.8660254037844386,0.5000000000000001,400.0
2015-11-02,24500,24200.0,23800.0,24000.0,24700.0,,24116.666666666668,255.2479483786258,2015,11,45,-0.5000000000000004,0.8660254037844384,300.0
2015-11-09,24500,24500.0,24200.0,23800.0,24400.0,,24100.0,217.4229226018035,2015,11,46,-0.5000000000000004,0.8660254037844384,0.0
2015-11-16,23950,24500.0,24500.0,23800.0,24100.0,,24108.333333333332,231.4316444667597,2015,11,47,-0.5000000000000004,0.8660254037844384,-550.0
2015-11-23,23750,23950.0,24500.0,24200.0,24100.0,,24095.833333333332,235.92981750482784,2015,11,48,-0.5000000000000004,0.8660254037844384,-200.0
2015-11-30,23100,23750.0,23950.0,24500.0,23900.0,,24066.666666666668,256.13680056962346,2015,11,49,-0.5000000000000004,0.8660254037844384,-650.0
2015-12-07,22800,23100.0,23750.0,24500.0,24200.0,,24000.0,378.3937343321115,2015,12,50,-2.4492935982947064e-16,1.0,-300.0
2015-12-14,22000,22800.0,23100.0,23950.0,24200.0,,23883.333333333332,505.5749802017923,2015,12,51,-2.4492935982947064e-16,1.0,-800.0
2015-12-21,21700,22000.0,22800.0,23750.0,24000.0,,23700.0,729.5702346400299,2015,12,52,-2.4492935982947064e-16,1.0,-300.0
2015-12-28,21300,21700.0,22000.0,23100.0,24000.0,,23508.333333333332,920.679920032741,2015,12,53,-2.4492935982947064e-16,1.0,-400.0
2016-01-04,21300,21300.0,21700.0,22800.0,23800.0,32900.0,23283.333333333332,1101.7204177048982,2016,1,1,0.49999999999999994,0.8660254037844387,0.0
2016-01-11,21300,21300.0,21300.0,22000.0,23800.0,32500.0,23075.0,1224.6520841744002,2016,1,2,0.49999999999999994,0.8660254037844387,0.0
2016-01-18,21200,21300.0,21300.0,21700.0,24200.0,32000.0,22866.666666666668,1300.407861426783,2016,1,3,0.49999999999999994,0.8660254037844387,-100.0
2016-01-25,21000,21200.0,21300.0,21300.0,24500.0,30700.0,22616.666666666668,1309.1172135404265,2016,1,4,0.49999999999999994,0.8660254037844387,-200.0
2016-02-01,21000,21000.0,21200.0,21300.0,24500.0,30300.0,22325.0,1239.4096835333887,2016,2,5,0.8660254037844386,0.5000000000000001,0.0
2016-02-08,21000,21000.0,21000.0,21300.0,23950.0,30300.0,22033.333333333332,1082.9952852523224,2016,2,6,0.8660254037844386,0.5000000000000001,0.0
2016-02-15,21200,21000.0,21000.0,21200.0,23750.0,30100.0,21787.5,932.7683625540648,2016,2,7,0.8660254037844386,0.5000000000000001,200.0
2016-02-22,21800,21200.0,21000.0,21000.0,23100.0,29400.0,21575.0,708.5516597577265,2016,2,8,0.8660254037844386,0.5000000000000001,600.0
2016-02-29,22450,21800.0,21200.0,21000.0,22800.0,29200.0,21466.666666666668,531.4360191257435,2016,2,9,0.8660254037844386,0.5000000000000001,650.0
2016-03-07,23300,22450.0,21800.0,21000.0,22000.0,29000.0,21437.5,455.83340258154215,2016,3,10,1.0,6.123233995736766e-17,850.0
2016-03-14,23800,23300.0,22450.0,21200.0,21700.0,28700.0,21545.833333333332,693.9538671244246,2016,3,11,1.0,6.123233995736766e-17,500.0
2016-03-21,25500,23800.0,23300.0,21800.0,21300.0,27800.0,21720.833333333332,952.8565506205947,2016,3,12,1.0,6.123233995736766e-17,1700.0
2016-03-28,26700,25500.0,23800.0,22450.0,21300.0,27200.0,22070.833333333332,1434.0753012645246,2016,3,13,1.0,6.123233995736766e-17,1200.0
